Word/Phrase,Effort Score,Hits,Grid Name,Actual Position X,Actual Position Y,XY,Path,Cell Type,count
rhythm,5.55,5,16 SCHOOL - Music Expanded,960.0,848.57,"(6, 5)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 16 SCHOOL - .Index Core -> 16 SCHOOL - Music Core -> 16 SCHOOL - Music Expanded,Regular,1
tune,5.55,5,16 SCHOOL - Music Expanded,320.0,848.57,"(6, 2)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 16 SCHOOL - .Index Core -> 16 SCHOOL - Music Core -> 16 SCHOOL - Music Expanded,Regular,1
play something different,4.55,4,08 LEISURE ACTIVITIES - music phrases TEEN,533.33,848.57,"(6, 3)",01 CORE - Home - TEEN ADULT -> 08 LEISURE ACTIVITIES - .Index pg1 core TEEN -> 08 LEISURE ACTIVITIES - music core TEEN -> 08 LEISURE ACTIVITIES - music phrases TEEN,WordList,1
shoelaces,4.55,4,15 TOPICS - Clothing Parts,320.0,77.14,"(1, 2)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Clothes -> 15 TOPICS - Clothing Parts,Regular,1
qu,4.55,4,18 SPELLING - switch frequency ETOS keyboard with prediction,533.33,694.29,"(5, 3)",01 CORE - Home - TEEN ADULT -> 18 SPELLING - abc keyboard with prediction -> 18 SPELLING - Keyboards Index -> 18 SPELLING - switch frequency ETOS keyboard with prediction,Regular,2
you can put my chair into manual by,4.55,4,07 DAILY LIFE - emergency phrases TEEN,533.33,848.57,"(6, 3)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - emergency with core - TEEN -> 07 DAILY LIFE - emergency phrases TEEN,WordList,1
cupcake,6.55,6,16 SCHOOL - Stories Expanded - Hungry Caterpillar,960.0,848.57,"(6, 5)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 16 SCHOOL - .Index Core -> 16 SCHOOL - Stories Core -> 16 SCHOOL - Stories Expanded -> 16 SCHOOL - Stories Expanded - Hungry Caterpillar,Regular,1
pears,6.55,6,16 SCHOOL - Stories Expanded - Hungry Caterpillar,533.33,77.14,"(1, 3)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 16 SCHOOL - .Index Core -> 16 SCHOOL - Stories Core -> 16 SCHOOL - Stories Expanded -> 16 SCHOOL - Stories Expanded - Hungry Caterpillar,Regular,1
plums,6.55,6,16 SCHOOL - Stories Expanded - Hungry Caterpillar,533.33,231.43,"(2, 3)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 16 SCHOOL - .Index Core -> 16 SCHOOL - Stories Core -> 16 SCHOOL - Stories Expanded -> 16 SCHOOL - Stories Expanded - Hungry Caterpillar,Regular,1
strawberries,6.55,6,16 SCHOOL - Stories Expanded - Hungry Caterpillar,533.33,385.71,"(3, 3)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 16 SCHOOL - .Index Core -> 16 SCHOOL - Stories Core -> 16 SCHOOL - Stories Expanded -> 16 SCHOOL - Stories Expanded - Hungry Caterpillar,Regular,1
